"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Babilonia",8,4,"Babilonia","PROPN","SP","_",2,"nmod","_","_",NA,NA,116,"Il Cairo","Babilonia",31.2357116,30.0444196
"2","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,13,"Algarve","Garbo",-7.930834,37.0179538
"3","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,14,"Algarve","Garbo",-7.930834,37.0179538
"4","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,12,"Algarve","Garbo",-7.930834,37.0179538
"5","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,16,"Algarve","Garbo",-7.930834,37.0179538
"6","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,11,"Algarve","Garbo",-7.930834,37.0179538
"7","Garbo",682,34,"Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,15,"Algarve","Garbo",-7.930834,37.0179538
"8","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,13,"Algarve","Garbo",-7.930834,37.0179538
"9","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,14,"Algarve","Garbo",-7.930834,37.0179538
"10","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,12,"Algarve","Garbo",-7.930834,37.0179538
"11","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,16,"Algarve","Garbo",-7.930834,37.0179538
"12","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,11,"Algarve","Garbo",-7.930834,37.0179538
"13","Garbo",8493,38,"Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,15,"Algarve","Garbo",-7.930834,37.0179538
"14","Garbo",10115,23,"Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,13,"Algarve","Garbo",-7.930834,37.0179538
"15","Garbo",10115,23,"Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,14,"Algarve","Garbo",-7.930834,37.0179538
"16","Garbo",10115,23,"Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,12,"Algarve","Garbo",-7.930834,37.0179538
"17","Garbo",10115,23,"Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,16,"Algarve","Garbo",-7.930834,37.0179538
