"","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","df3","df4"
"1",8,4,"Babilonia","Babilonia","PROPN","SP","_",2,"nmod","_","_",NA,NA,31.2357116,30.0444196
"2",23,17,"Garbo","Garbo","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"3",69,17,"Garbo","Garbo","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"4",90,10,"Emilia","Emilia","PROPN","SP","_",8,"nmod","_","_",NA,NA,NA,NA
"5",107,26,"Beritola","Beritola","PROPN","SP","_",25,"nmod","_","_",NA,NA,NA,NA
"6",132,15,"Panfilo","Panfilo","PROPN","SP","_",16,"nsubj","_","_",NA,NA,NA,NA
"7",566,8,"Babillonia","Babillonia","PROPN","SP","_",11,"obl","_","_",NA,NA,31.2357116,30.0444196
"8",575,17,"Beminedab","Beminedab","PROPN","SP","_",16,"conj","_","SpaceAfter=No",NA,NA,NA,NA
"9",613,18,"Alatiel","Alatiel","PROPN","SP","_",17,"xcomp","_","SpaceAfter=No",NA,NA,NA,NA
"10",682,34,"Garbo","Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"11",738,37,"Dio","dio","PROPN","SP","_",35,"obl","_","SpaceAfter=No",NA,NA,NA,NA
"12",765,22,"Allessandria","Allessandria","PROPN","SP","_",20,"nmod","_","_",NA,NA,29.9187387,31.2000924
"13",781,5,"Sardigna","Sardigna","PROPN","SP","_",3,"obj","_","_",NA,NA,9.0128926,40.1208752
"14",922,55,"Maiolica","Maiolica","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,3.0175712,39.6952629
"15",1141,69,"Maiolica","Maiolica","PROPN","SP","_",67,"nmod","_","_",NA,NA,3.0175712,39.6952629
"16",1510,25,"Pericon","Pericon","PROPN","SP","_",0,"root","_","_",NA,NA,NA,NA
"17",1512,27,"Visalgo","Visalgo","PROPN","SP","_",25,"nmod","_","SpaceAfter=No",NA,NA,3.0175712,39.6952629
"18",1663,14,"Pericone","Pericone","PROPN","SP","_",12,"obl","_","_",NA,NA,NA,NA
"19",1789,30,"Pericone","Pericone","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"20",1833,2,"Pericone","Pericone","PROPN","SP","_",3,"nsubj","_","_",NA,NA,NA,NA
"21",1948,18,"Pericone","Pericone","PROPN","SP","_",16,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"22",2015,61,"Perdicon","Perdicon","PROPN","SP","_",59,"nmod","_","_",NA,NA,NA,NA
"23",2137,1,"Perdicone","Perdicone","PROPN","SP","_",8,"nsubj:pass","_","SpaceAfter=No",NA,NA,NA,NA
"24",2234,41,"Venere","Venere","PROPN","SP","_",39,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"25",2374,21,"Maiolica","Maiolica","PROPN","SP","_",19,"nmod","_","_",NA,NA,3.0175712,39.6952629
"26",2390,4,"Pericone","Pericone","PROPN","SP","_",3,"obj","_","SpaceAfter=No",NA,NA,NA,NA
"27",2464,16,"Pericone","Pericone","PROPN","SP","_",34,"nsubj","_","_",NA,NA,NA,NA
"28",2497,1,"Pericone","Pericone","PROPN","SP","_",3,"nsubj","_","_",NA,NA,NA,NA
"29",2575,31,"Pericone","Pericone","PROPN","SP","_",29,"nmod","_","_",NA,NA,NA,NA
"30",2617,6,"Pericone","Pericone","PROPN","SP","_",4,"nmod","_","_",NA,NA,NA,NA
"31",2655,2,"Pericone","Pericone","PROPN","SP","_",1,"obj","_","_",NA,NA,NA,NA
"32",2675,22,"Marato","Marato","PROPN","SP","_",2,"flat:name","_","SpaceAfter=No",NA,NA,NA,NA
"33",2736,54,"Pericone","Pericone","PROPN","SP","_",53,"flat:name","_","SpaceAfter=No",NA,NA,NA,NA
"34",2787,24,"Romania","Romania","PROPN","SP","_",20,"obl","_","SpaceAfter=No",NA,NA,22.37349,37.5079472
"35",2823,4,"Marato","Marato","PROPN","SP","_",6,"nsubj","_","_",NA,NA,NA,NA
"36",2863,21,"Pericone","Pericone","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"37",2930,18,"Pericon","Pericon","PROPN","SP","_",29,"nsubj","_","_",NA,NA,NA,NA
"38",2939,27,"Pericone","Pericone","PROPN","SP","_",18,"conj","_","_",NA,NA,NA,NA
"39",2970,57,"Pericone","Pericone","PROPN","SP","_",55,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"40",2995,81,"Marato","Marato","PROPN","SP","_",80,"obj","_","_",NA,NA,NA,NA
"41",3053,2,"Marato","Marare","PROPN","SP","_",6,"nsubj","_","_",NA,NA,NA,NA
"42",3062,10,"Dio","Dio","PROPN","SP","_",12,"nsubj","_","_",NA,NA,NA,NA
"43",3084,31,"Pericone","Pericone","PROPN","SP","_",33,"nsubj","_","_",NA,NA,NA,NA
"44",3175,59,"Marato","Marare","PROPN","SP","_",61,"nsubj","_","_",NA,NA,NA,NA
"45",3243,6,"Marato","Marato","PROPN","SP","_",2,"obl","_","_",NA,NA,NA,NA
"46",3265,27,"Marato","Marato","PROPN","SP","_",25,"conj","_","_",NA,NA,NA,NA
"47",3321,81,"Marato","Marato","PROPN","SP","_",83,"obj","_","_",NA,NA,NA,NA
"48",3393,33,"Marato","Marato","PROPN","SP","_",32,"nmod","_","_",NA,NA,NA,NA
"49",3606,57,"Chiarenza","Chiarenza","PROPN","SP","_",55,"obl","_","_",NA,NA,21.356045,37.9683071
"50",3668,31,"Morea","Morea","PROPN","SP","_",28,"nmod","_","SpaceAfter=No",NA,NA,21.356045,37.9683071
"51",3909,42,"Romania","Romania","PROPN","SP","_",43,"nsubj","_","_",NA,NA,22.37349,37.5079472
"52",3926,9,"Atene","Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,23.7275388,37.9838096
"53",3981,25,"Chiarenza","Chiarenza","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,21.356045,37.9683071
"54",4363,26,"Ciuriaci","Ciuriaci","PROPN","SP","_",25,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"55",4403,64,"Ciuriaci","Ciuriaci","PROPN","SP","_",63,"nmod","_","_",NA,NA,NA,NA
"56",4636,26,"Ciuriaci","Ciuriaci","PROPN","SP","_",24,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"57",4648,37,"Ciuriaci","Ciuriaci","PROPN","SP","_",39,"nsubj","_","_",NA,NA,NA,NA
"58",4870,68,"Atene","Atene","PROPN","SP","_",71,"obl","_","_",NA,NA,23.7275388,37.9838096
"59",4887,10,"Atene","Atene","PROPN","SP","_",0,"root","_","_",NA,NA,23.7275388,37.9838096
"60",5039,26,"Ciuriaci","Ciuriaci","PROPN","SP","_",23,"conj","_","_",NA,NA,NA,NA
"61",5047,34,"Ciuriaci","Ciuriaci","PROPN","SP","_",32,"obj","_","_",NA,NA,NA,NA
"62",5123,61,"Atene","Atene","PROPN","SP","_",59,"nmod","_","_",NA,NA,23.7275388,37.9838096
"63",5231,45,"Atene","Atene","PROPN","SP","_",43,"nmod","_","_",NA,NA,23.7275388,37.9838096
"64",5275,37,"Constantinopoli","Constantinopoli","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,28.9783589,41.0082376
"65",5282,44,"Manovello","Manovello","PROPN","SP","_",42,"conj","_","_",NA,NA,NA,NA
"66",5590,3,"Constanzio","Constanzio","PROPN","SP","_",2,"obj","_","_",NA,NA,NA,NA
"67",5765,17,"Atene","Atene","PROPN","SP","_",14,"nmod","_","_",NA,NA,23.7275388,37.9838096
"68",5796,10,"Constanzio","Constanzio","PROPN","SP","_",12,"nsubj","_","_",NA,NA,NA,NA
"69",5836,49,"Atene","Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,23.7275388,37.9838096
"70",5864,15,"Manovello","Manovello","PROPN","SP","_",10,"obl","_","SpaceAfter=No",NA,NA,NA,NA
"71",5867,18,"Atene","Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,23.7275388,37.9838096
"72",5947,5,"Constanzio","Constanzio","PROPN","SP","_",4,"obj","_","_",NA,NA,NA,NA
"73",5992,3,"Constanzio","Constanzio","PROPN","SP","_",6,"nmod","_","_",NA,NA,NA,NA
"74",6105,86,"Constanzio","Constanzio","PROPN","SP","_",84,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"75",6316,19,"Egina","Egina","PROPN","SP","_",13,"nmod","_","_",NA,NA,23.5014213,37.7408815
"76",6331,9,"Constanzio","Constanzio","PROPN","SP","_",22,"nsubj","_","_",NA,NA,NA,NA
"77",6362,14,"Chios","Chios","PROPN","SP","_",12,"obl","_","SpaceAfter=No",NA,NA,-97.1193008,32.8316549
"78",6389,39,"Constanzio","Constanzio","PROPN","SP","_",37,"obl","_","_",NA,NA,NA,NA
"79",6414,63,"Constanzio","Constanzio","PROPN","SP","_",37,"conj","_","_",NA,NA,NA,NA
"80",6449,9,"Osbech","Osbech","PROPN","SP","_",33,"nsubj","_","SpaceAfter=No",NA,NA,NA,NA
"81",6477,36,"Smirre","Smirre","PROPN","SP","_",33,"nmod","_","SpaceAfter=No",NA,NA,27.142826,38.423734
"82",6486,5,"Constanzio","Constanzio","PROPN","SP","_",3,"obl","_","_",NA,NA,NA,NA
"83",6506,25,"Chios","Chios","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,-97.1193008,32.8316549
"84",6577,94,"Smirre","Smirre","PROPN","SP","_",96,"obl","_","_",NA,NA,27.142826,38.423734
"85",6588,5,"Osbech","Osbech","PROPN","SP","_",4,"obj","_","SpaceAfter=No",NA,NA,NA,NA
"86",6614,29,"Constanzio","Constanzio","PROPN","SP","_",36,"obl","_","_",NA,NA,NA,NA
"87",6670,17,"Basano","basano","PROPN","SP","_",14,"obl","_","SpaceAfter=No",NA,NA,NA,NA
"88",6674,21,"Capadocia","Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,-81.310391,28.551347
"89",6679,26,"Osbech","Osbech","PROPN","SP","_",42,"obl","_","_",NA,NA,NA,NA
"90",6717,62,"Basano","basano","PROPN","SP","_",59,"nsubj","_","_",NA,NA,NA,NA
"91",6753,97,"Capadocia","Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,-81.310391,28.551347
"92",6767,110,"Osbech","Osbech","PROPN","SP","_",111,"nsubj","_","_",NA,NA,NA,NA
"93",6815,29,"Capadocia","Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,-81.310391,28.551347
"94",6821,34,"Smirre","Smirre","PROPN","SP","_",31,"obl","_","_",NA,NA,27.142826,38.423734
"95",6842,54,"Capadocia","Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,-81.310391,28.551347
"96",6871,3,"Basano","basano","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA
"97",6882,13,"Smirre","Smirre","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,27.142826,38.423734
"98",6909,4,"Osbech","Osbech","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"99",6915,10,"Antioco","Antioco","PROPN","SP","_",0,"root","_","SpaceAfter=No",NA,NA,NA,NA
"100",7071,4,"Osbech","Osbech","PROPN","SP","_",3,"nmod","_","_",NA,NA,NA,NA
"101",7106,10,"Osbech","Osbech","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,NA,NA
"102",7114,18,"Rodi","Rodi","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,-77.2376265,38.917372
"103",7125,29,"Antioco","Antioco","PROPN","SP","_",30,"nsubj","_","_",NA,NA,NA,NA
"104",7574,15,"Rodi","Rodi","PROPN","SP","_",13,"nmod","_","_",NA,NA,-77.2376265,38.917372
"105",7578,19,"Cipri","Ciprio","PROPN","SP","_",23,"obl","_","_",NA,NA,-71.1375382,42.6958514
"106",7611,51,"Cipri","Ciprio","PROPN","SP","_",52,"obl","_","_",NA,NA,-71.1375382,42.6958514
"107",7638,22,"Antioco","Antioco","PROPN","SP","_",20,"nmod","_","_",NA,NA,NA,NA
"108",7756,20,"Rodi","Rodi","PROPN","SP","_",18,"nmod","_","_",NA,NA,-77.2376265,38.917372
"109",7815,49,"Baffa","Baffa","PROPN","SP","_",56,"obl","_","_",NA,NA,32.4297369,34.7720133
"110",7830,64,"Baffa","Baffa","PROPN","SP","_",74,"nsubj","_","_",NA,NA,32.4297369,34.7720133
"111",7851,6,"Baffa","Baffa","PROPN","SP","_",14,"obl","_","_",NA,NA,32.4297369,34.7720133
"112",7864,19,"Antigono","Antigere","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"113",7899,51,"Cipri","Ciprio","PROPN","SP","_",49,"nmod","_","_",NA,NA,-71.1375382,42.6958514
"114",7934,25,"Erminia","Erminia","PROPN","SP","_",23,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"115",8032,31,"Antigono","Antigere","PROPN","SP","_",30,"nmod","_","_",NA,NA,NA,NA
"116",8040,39,"Alessandria","Alessandria","PROPN","SP","_",35,"obl","_","_",NA,NA,29.9187387,31.2000924
"117",8095,36,"Antigono","antigono","PROPN","SP","_",35,"obj","_","SpaceAfter=No",NA,NA,NA,NA
"118",8112,13,"Antigono","antigono","PROPN","SP","_",18,"nsubj","_","_",NA,NA,NA,NA
"119",8114,15,"Famagosta","Famagosta","PROPN","SP","_",13,"nmod","_","_",NA,NA,33.919245,35.1149116
"120",8142,2,"Madonna","Madonna","PROPN","SP","_",8,"nsubj","_","SpaceAfter=No",NA,NA,NA,NA
"121",8218,35,"Alessandra","Alessandra","PROPN","SP","_",36,"obl","_","_",NA,NA,29.9187387,31.2000924
"122",8231,6,"Antigono","antigono","PROPN","SP","_",4,"obj","_","_",NA,NA,NA,NA
"123",8236,11,"Alatiel","Alatiel","PROPN","SP","_",9,"nsubj","_","_",NA,NA,NA,NA
"124",8282,5,"Antigono","antigono","PROPN","SP","_",3,"nmod","_","_",NA,NA,NA,NA
"125",8307,30,"Egitto","Egitto","PROPN","SP","_",28,"nmod","_","_",NA,NA,30.802498,26.820553
"126",8388,3,"Antigono","antigono","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA
"127",8396,2,"Madonna","Madonna","PROPN","SP","_",6,"parataxis","_","SpaceAfter=No",NA,NA,NA,NA
"128",8454,2,"Madonna","Madonna","PROPN","SP","_",0,"root","_","SpaceAfter=No",NA,NA,NA,NA
"129",8493,38,"Garbo","Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"130",8535,15,"Antigono","antigono","PROPN","SP","_",14,"xcomp","_","_",NA,NA,NA,NA
"131",8537,17,"Famagosta","Famagosta","PROPN","SP","_",15,"nmod","_","_",NA,NA,33.919245,35.1149116
"132",8612,3,"Baffa","Baffa","PROPN","SP","_",5,"obl","_","_",NA,NA,32.4297369,34.7720133
"133",8735,23,"Famagosta","Famagorre","PROPN","SP","_",25,"obl","_","_",NA,NA,33.919245,35.1149116
"134",8784,22,"Antigono","antigono","PROPN","SP","_",19,"nmod","_","_",NA,NA,NA,NA
