"","Standardized","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Long","Lat","lon","lat"
"1","Acri",3978,35,"Acri","Acri","PROPN","SP","_",33,"nmod","_","_",NA,NA,NA,NA,-80.0260665,40.518441
"2","Agrigento",1706,33,"Gergenti","Gergento","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,13.5859823,37.3094075
"3","Aigues Mortes",8961,38,"Aguamorta","Aguamorto","PROPN","SP","_",36,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,4.1925869,43.567172
"4","Alba (CN)",3740,114,"Alba","alba","PROPN","SP","_",111,"obl","_","_",NA,NA,NA,NA,8.0356911,44.7009153
"5","Alessandria d'Egitto",3840,16,"Alessandria","Alessandria","PROPN","SP","_",14,"obl","_","_",NA,NA,NA,NA,29.9187387,31.2000924
"6","Alessandria d'Egitto",2365,34,"Alessandria","Alessandria","PROPN","SP","_",35,"obl","_","_",NA,NA,NA,NA,29.9187387,31.2000924
"7","Alessandria d'Egitto",8218,35,"Alessandra","Alessandra","PROPN","SP","_",36,"obl","_","_",NA,NA,NA,NA,29.9187387,31.2000924
"8","Alessandria d'Egitto",765,22,"Allessandria","Allessandria","PROPN","SP","_",20,"nmod","_","_",NA,NA,NA,NA,29.9187387,31.2000924
"9","Alessandria d'Egitto",47,9,"Alessandria","Alessandria","PROPN","SP","_",7,"obl","_","SpaceAfter=No",NA,NA,NA,NA,29.9187387,31.2000924
"10","Alessandria d'Egitto",8040,39,"Alessandria","Alessandria","PROPN","SP","_",35,"obl","_","_",NA,NA,NA,NA,29.9187387,31.2000924
"11","Algarve",10155,8,"Garbo","Garbo","PROPN","SP","_",5,"nmod","_","_",NA,NA,NA,NA,-7.930834,37.0179538
"12","Algarve",69,17,"Garbo","Garbo","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-7.930834,37.0179538
"13","Algarve",10115,23,"Garbo","Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-7.930834,37.0179538
"14","Algarve",682,34,"Garbo","Garbo","PROPN","SP","_",31,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-7.930834,37.0179538
"15","Algarve",23,17,"Garbo","Garbo","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-7.930834,37.0179538
"16","Algarve",8493,38,"Garbo","Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-7.930834,37.0179538
"17","Amalfi",258,41,"Amalfi","Amalfi","PROPN","SP","_",39,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,14.6026805,40.6340026
"18","Andravida-Kyllini",3668,31,"Morea","Morea","PROPN","SP","_",28,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,21.356045,37.9683071
