"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"5","1","Martellino","Martellino","PROPN","SP","_","10","nsubj","_","SpaceAfter=No",,
"14","9","Arrigo","Arrigo","PROPN","SP","_","10","nsubj","_","_",,
"161","13","Trivigi","Trivigi","PROPN","SP","_","11","obl","_","_",,
"163","15","Arrigo","Arrigo","PROPN","SP","_","14","xcomp","_","SpaceAfter=No",,
"244","40","Trivigi","Trivigi","PROPN","SP","_","38","nmod","_","_",,
"358","12","Trivigi","Trivigi","PROPN","SP","_","13","obl","_","_",,
"371","25","Stecchi","Stecchi","PROPN","SP","_","24","xcomp","_","SpaceAfter=No",,
"375","29","Martellino","Martellino","PROPN","SP","_","16","appos","_","_",,
"379","33","Marchese","Marchese","PROPN","SP","_","29","conj","_","SpaceAfter=No",,
"456","11","Marchese","Marchese","PROPN","SP","_","10","obj","_","SpaceAfter=No",,
"555","1","Martellino","Martellino","PROPN","SP","_","11","nsubj","_","_",,
"595","2","Marchese","Marchese","PROPN","SP","_","1","nsubj","_","SpaceAfter=No",,
"604","5","Rispose","rispondere","PROPN","SP","_","0","root","_","_",,
"605","6","Martellino","Martellino","PROPN","SP","_","5","flat:name","_","SpaceAfter=No",,
"633","17","Stecchi","Stecchi","PROPN","SP","_","15","conj","_","_",,
"688","2","Marchese","Marchese","PROPN","SP","_","6","obl","_","_",,
"691","5","Stecchi","Stecchi","PROPN","SP","_","2","conj","_","_",,
"719","20","Martellino","Martellino","PROPN","SP","_","22","nsubj","_","_",,
"794","8","Marchese","Marchese","PROPN","SP","_","5","obl:agent","_","_",,
"797","11","Stecchi","Stecchi","PROPN","SP","_","8","conj","_","SpaceAfter=No",,
"857","15","Fa","fa","PROPN","SP","_","12","obl","_","SpaceAfter=No",,
"877","14","Arrigo","Arrigo","PROPN","SP","_","13","nmod","_","_",,
"897","14","Martellino","Martellino","PROPN","SP","_","23","nsubj","_","_",,
"921","1","Martellino","Martellino","PROPN","SP","_","7","nsubj","_","SpaceAfter=No",,
"992","14","Arrigo","Arrigo","PROPN","SP","_","13","flat:name","_","_",,
"1022","16","Martellino","Martellino","PROPN","SP","_","15","nsubj","_","SpaceAfter=No",,
"1116","7","A'","A'","PROPN","SP","_","4","nsubj","_","_",,
"1129","5","Dio","dio","PROPN","SP","_","3","obl","_","SpaceAfter=No",,
"1303","1","Martellin","Martellin","PROPN","SP","_","2","nsubj","_","_",,
"1306","4","Mercé","Mercé","PROPN","SP","_","2","obj","_","_",,
"1308","6","Dio","dio","PROPN","SP","_","4","nmod","_","SpaceAfter=No",,
"1340","5","Stecchi","Stecchi","PROPN","SP","_","4","nsubj","_","_",,
"1342","7","Marchese","Marchese","PROPN","SP","_","5","conj","_","_",,
"1409","71","Marchese","Marchese","PROPN","SP","_","70","nmod","_","_",,
"1430","14","Marchese","Marchese","PROPN","SP","_","12","nmod","_","SpaceAfter=No",,
"1517","32","Martellino","Martellino","PROPN","SP","_","31","nmod","_","_",,
"1647","2","Martellino","Martellino","PROPN","SP","_","3","nsubj","_","_",,
"1792","45","Disse","dire","PROPN","SP","_","43","nmod","_","_",,
"1846","4","Martellino","Martellino","PROPN","SP","_","5","nsubj","_","_",,
"2005","34","Marchese","Marchese","PROPN","SP","_","32","conj","_","_",,
"2007","36","Stecchi","Stecchi","PROPN","SP","_","32","conj","_","SpaceAfter=No",,
"2102","10","Sandro","Sandro","PROPN","SP","_","7","obl","_","_",,
"2103","11","Agolanti","Agolante","PROPN","SP","_","10","flat:name","_","SpaceAfter=No",,
"2108","16","Trivigi","Trivigi","PROPN","SP","_","17","obl","_","_",,
"2141","18","Martellino","Martellino","PROPN","SP","_","16","nmod","_","_",,
"2148","1","Sandro","Sandro","PROPN","SP","_","13","nsubj","_","SpaceAfter=No",,
"2165","16","Martellino","Martellino","PROPN","SP","_","18","obl","_","_",,
"2305","36","Firenze","Firenze","PROPN","SP","_","41","obl","_","_",,
