"","Row.names","cities","lon","lat"
"1","1","Standardized",NA,NA
"2","10","",NA,NA
"3","100","",NA,NA
"4","1000","Mallorca",3.0175712,39.6952629
"5","1001","",NA,NA
"6","1002","",NA,NA
"7","1003","",NA,NA
"8","1004","",NA,NA
"9","1005","",NA,NA
"10","101","",NA,NA
"11","102","",NA,NA
"12","103","",NA,NA
"13","104","",NA,NA
"14","105","",NA,NA
"15","106","",NA,NA
"16","107","",NA,NA
"17","108","",NA,NA
"18","109","",NA,NA
"19","11","",NA,NA
"20","110","",NA,NA
"21","111","",NA,NA
"22","112","",NA,NA
"23","113","",NA,NA
"24","114","",NA,NA
"25","115","",NA,NA
"26","116","",NA,NA
"27","117","",NA,NA
"28","118","",NA,NA
"29","119","",NA,NA
"30","12","Aigues Mortes",NA,NA
"31","120","",NA,NA
"32","121","",NA,NA
"33","122","",NA,NA
"34","123","",NA,NA
"35","124","",NA,NA
"36","125","",NA,NA
"37","126","",NA,NA
"38","127","",NA,NA
"39","128","",NA,NA
"40","129","",NA,NA
"41","13","",NA,NA
"42","130","",NA,NA
"43","131","",NA,NA
"44","132","",NA,NA
"45","133","",NA,NA
"46","134","",NA,NA
"47","135","",NA,NA
"48","136","",NA,NA
"49","137","",NA,NA
"50","138","Anversa",4.4024643,51.2194475
"51","139","Anversa",NA,NA
"52","14","",NA,NA
"53","140","Anversa",NA,NA
"54","141","Anversa",NA,NA
"55","142","Anversa",4.4024643,51.2194475
"56","143","Anversa",NA,NA
"57","144","Anversa",NA,NA
"58","145","Anversa",NA,NA
"59","146","Anversa",NA,NA
"60","147","Anversa",NA,NA
"61","148","",NA,NA
"62","149","",NA,NA
"63","15","",NA,NA
"64","150","",NA,NA
"65","151","",NA,NA
"66","152","",NA,NA
"67","153","",NA,NA
"68","154","",NA,NA
"69","155","",NA,NA
"70","156","",NA,NA
"71","157","",NA,NA
"72","158","",NA,NA
"73","159","",NA,NA
"74","16","",NA,NA
"75","160","",NA,NA
"76","161","",NA,NA
"77","162","",NA,NA
"78","163","",NA,NA
"79","164","",NA,NA
"80","165","",NA,NA
"81","166","",NA,NA
"82","167","",NA,NA
"83","168","",NA,NA
"84","169","",NA,NA
"85","17","",NA,NA
"86","170","",NA,NA
"87","171","",NA,NA
"88","172","",NA,NA
"89","173","",NA,NA
"90","174","",NA,NA
"91","175","",NA,NA
"92","176","",NA,NA
"93","177","",NA,NA
"94","178","",NA,NA
"95","179","",NA,NA
"96","18","Alba (CN)",8.0356911,44.7009153
"97","180","",NA,NA
"98","181","",NA,NA
"99","182","",NA,NA
"100","183","Asti",NA,NA
"101","184","Asti",NA,NA
"102","185","Asti",NA,NA
"103","186","Atene",NA,NA
"104","187","Atene",NA,NA
"105","188","Atene",NA,NA
"106","189","Atene",23.7275388,37.9838096
"107","19","Alessandria d'Egitto",29.9187387,31.2000924
"108","190","Atene",NA,NA
"109","191","Atene",23.7275388,37.9838096
"110","192","Atene",23.7275388,37.9838096
"111","193","Atene",NA,NA
"112","194","",NA,NA
"113","195","",NA,NA
"114","196","Il Cairo",31.2357116,30.0444196
"115","197","Il Cairo",31.2357116,30.0444196
"116","198","Pafo",32.4297369,34.7720133
"117","199","Pafo",NA,NA
"118","2","",NA,NA
"119","20","Alessandria d'Egitto",29.9187387,31.2000924
"120","200","Pafo",32.4297369,34.7720133
"121","201","Pafo",32.4297369,34.7720133
"122","202","Pafo",32.4297369,34.7720133
"123","203","Pafo",NA,NA
"124","204","",NA,NA
"125","205","",NA,NA
"126","206","",NA,NA
"127","207","",NA,NA
"128","208","",NA,NA
"129","209","Benevento",NA,NA
"130","21","Alessandria d'Egitto",29.9187387,31.2000924
"131","210","",NA,NA
"132","211","",NA,NA
"133","212","",NA,NA
"134","213","",NA,NA
"135","214","",NA,NA
"136","215","",NA,NA
"137","216","",NA,NA
"138","217","",NA,NA
"139","218","",NA,NA
"140","219","",NA,NA
"141","22","Alessandria d'Egitto",29.9187387,31.2000924
"142","220","",NA,NA
"143","221","",NA,NA
"144","222","",NA,NA
"145","223","",NA,NA
"146","224","",NA,NA
"147","225","",NA,NA
"148","226","",NA,NA
"149","227","",NA,NA
"150","228","",NA,NA
"151","229","",NA,NA
"152","23","Alessandria d'Egitto",NA,NA
"153","230","",NA,NA
"154","231","",NA,NA
"155","232","",NA,NA
"156","233","",NA,NA
"157","234","",NA,NA
"158","235","",NA,NA
"159","236","",NA,NA
