Standardized,lon,lat
Atene,23.7275388,37.9838096
Il Cairo,31.2357116,30.0444196
Pafo,32.4297369,34.7720133
Benevento,14.7826208,41.1297613
Bologna,11.3426162,44.494887
Brindisi,17.9417616,40.6327278
Bruges,3.2246995,51.209348
Calais,1.858686,50.95129
Cappadocia,34.828292,38.645287
Napoli,14.2681244,40.8517746
Andravida-Kyllini,21.356045,37.9683071
Chios,26.131006,38.368182
Sicilia,14.0153557,37.5999938
Cefalonia,20.5692179,38.1753675
Cipro,33.429859,35.126413
Istanbul,28.9783589,41.0082376
Cornovaglia,-5.0527125,50.2660471
Borgo San Lorenzo (FI),11.3847483,43.9543788
Creta,24.809269,35.240117
Egina,23.5014213,37.7408815
Acri,35.082678,32.933052
Egitto,30.802498,26.820553
Famagosta,33.919245,35.1149116
Ferrara,11.619787,44.8381237
Finale Ligure,8.3416211,44.1689028
Firenze,11.2558136,43.7695604
Francia,2.213749,46.227638
Gaeta,13.5714285,41.2107299
Galles,-3.783712,52.130661
Algarve,-7.930834,37.0179538
Genova,8.946256,44.405650
Aigues Mortes,4.1925869,43.567172
Agrigento,13.5859823,37.3094075
Corfù,19.9216777,39.6242621
Gerusalemme,35.21371,31.768319
Inghilterra,-1.1743197,52.3555177
Irlanda,-8.24389,53.41291
Italia,12.56738,41.87194
Lerici,9.9169337,44.0756332
Lipari,14.927204,38.493662
Londra,-0.1277583,51.5073509
Lunigiana (La Spezia),9.8373977,44.1188915
Alba (CN),8.0356911,44.7009153
Mallorca,3.0175712,39.6952629
Principato di Monaco,7.4246158,43.7384176
Palermo,13.3612671,38.1156879
Parigi,2.352222,48.856614
Perugia,12.3908279,43.1107168
Piacenza,9.6929845,45.0526206
Piccardia,2.5280732,49.6636127
Pisa,10.4016888,43.7228386
Ponza,12.9579459,40.9108657
Procida,14.0150996,40.7578412
Alessandria d'Egitto,29.9187387,31.2000924
Puglia,17.1011931,40.7928393
Aragona,13.618945,37.407403
Ravello,14.6117112,40.6491886
Ravenna,12.2035294,44.4183598
Reggio Calabria,15.6472914,38.1113006
Rodi,28.217638,36.434053
Roma,12.496366,41.902783
Peloponneso,22.37349,37.5079472
Rouen,1.099971,49.443232
Salerno,14.7680961,40.6824408
Amalfi,14.6026805,40.6340026
Sardegna,9.0128926,40.1208752
Scozia,-4.2026458,56.4906712
Smirne,27.142826,38.423734
Strangford,-5.55569,54.36979
Toscana,11.2486208,43.7710513
Trani,16.4178334,41.2774857
Treviso,12.2430437,45.6668893
Verona,10.9916215,45.4383842
Anversa,4.4024643,51.2194475
Asti,8.2064257,44.9007512
