Umana,ADJ,umano
cosa,NOM,cosa
è,VER:pres,essere
aver,VER:infi,avere
compassione,NOM,compassione
degli,PRE:det,del
afflitti,NOM,afflitto
e,CON,e
come,PRE,come
che,PRO:rela,che
a,PRE,a
ciascuna,PRO:indef,ciascun|ciascuna
persona,NOM,persona
stea,ADJ,<unknown>
bene,ADV,bene
a,PRE,a
coloro,VER:pres,colorare
è,VER:pres,essere
massimamente,ADV,massimamente
richiesto,VER:pper,richiedere
li,PRO:pers,li
quali,PRO:rela,quale
già,ADV,già
hanno,VER:pres,avere
di,PRE,di
conforto,NOM,conforto
avuto,VER:pper,avere
mestiere,NOM,mestiere
e,CON,e
hannol,NOM,<unknown>
trovato,VER:pper,trovare
in,PRE,in
alcuni,PRO:indef,alcun|alcuni
fra,PRE,fra
quali,PRO:rela,quale
se,CON,se
alcuno,PRO:indef,alcuno
mai,NOM,mai
n,ABR,n
',PON,'
ebbe,VER:remo,avere
bisogno,NOM,bisogno
o,CON,o
gli,PRO:pers,gli
fu,VER:remo,essere
caro,ADJ,caro
o,CON,o
già,ADV,già
ne,ADV,ne
ricevette,VER:remo,ricevere
piacere,NOM,piacere
io,PRO:pers,io
sono,VER:pres,essere
uno,ADJ,uno
di,PRE,di
quegli,PRO:demo,quello
Per,NOM,<unknown>
ciò,PRO:demo,ciò
che,PRO:rela,che
dalla,PRE:det,dal
mia,PRO:poss,mio
prima,ADJ,primo
giovanezza,NOM,<unknown>
infino,ADV,infino
a,PRE,a
questo,PRO:demo,questo
tempo,NOM,tempo
oltre,CON,oltre
modo,NOM,modo
essendo,VER:geru,essere
acceso,VER:pper,accendere
stato,NOM,stato
d,ABR,d
',PON,'
altissimo,ADJ,alto
e,CON,e
nobile,ADJ,nobile
amore,NOM,amore
forse,ADV,forse
più,ADV,più
assai,ADV,assai
che,PRO:rela,che
alla,PRE:det,al
mia,PRO:poss,mio
bassa,ADJ,basso
condizione,NOM,condizione
non,ADV,non
parrebbe,VER:cond,parere
narrando-,ADJ,<unknown>
lo,DET:def,il
si,PRO:pers,si
richiedesse,VER:cimp,richiedere
quantunque,CON,quantunque
appo,VER:impe,<unknown>
coloro,VER:pres,colorare
che,PRO:rela,che
discreti,ADJ,discreto
erano,VER:impf,essere
e,CON,e
alla,PRE:det,al
cui,PRO:rela,cui
notizia,NOM,notizia
pervenne,VER:remo,pervenire
io,PRO:pers,io
ne,ADV,ne
fossi,VER:cimp,essere
lodato,VER:pper,lodare
e,CON,e
da,PRE,da
molto,ADV,molto
più,ADV,più
reputato,VER:pper,reputare
nondimeno,ADV,nondimeno
mi,PRO:pers,mi
fu,VER:remo,essere
egli,PRO:pers,egli
di,PRE,di
grandissima,ADJ,grande
fatica,NOM,fatica
a,PRE,a
sofferire,VER:infi,<unknown>
certo,ADV,certo
non,ADV,non
per,PRE,per
crudeltà,NOM,crudeltà
della,PRE:det,del
donna,NOM,donna
amata,ADJ,amato
ma,CON,ma
per,PRE,per
soverchio,ADJ,soverchio
fuoco,NOM,fuoco
nella,PRE:det,nel
mente,NOM,mente
concetto,NOM,concetto
da,PRE,da
poco,ADV,poco
regolato,VER:pper,regolare
appetito,NOM,appetito
il,DET:def,il
quale,PRO:rela,quale
per,PRE,per
ciò,PRO:demo,ciò
che,PRO:rela,che
a,PRE,a
niuno,ADJ,niuno
convenevole,ADJ,convenevole
termine,NOM,termine
mi,PRO:pers,mi
lasciava,VER:impf,lasciare
contento,NOM,contento
stare,ADV,stare
più,ADV,più
di,PRE,di
noia,NOM,noia
che,PRO:rela,che
bisogno,VER:pres,bisognare
non,ADV,non
m,VER:infi,<unknown>
',PON,'
era,VER:impf,essere
spesse,ADJ,spesso
volte,NOM,volta
sentir,VER:infi,sentire
mi,PRO:pers,mi
facea,ADJ,<unknown>
Nella,NOM,<unknown>
qual,ADJ,qual
noia,NOM,noia
tanto,CON,tanto
rifrigerio,NOM,<unknown>
già,ADV,già
mi,PRO:pers,mi
porsero,VER:remo,porgere
i,DET:def,il
piacevoli,ADJ,piacevole
ragionamenti,NOM,ragionamento
d,ABR,d
',PON,'
alcuno,PRO:indef,alcuno
amico,NOM,amico
e,CON,e
le,DET:def,il
sue,PRO:poss,suo
laudevoli,ADJ,<unknown>
consolazioni,NOM,consolazione
che,PRO:rela,che
io,PRO:pers,io
porto,VER:pres,portare
fermissima,ADJ,fermo
opinione,NOM,opinione
per,PRE,per
quelle,PRO:demo,quello
essere,VER:infi,essere
avvenuto,VER:pper,avvenire
che,PRO:rela,che
io,PRO:pers,io
non,ADV,non
sia,VER:cpre,essere
morto,VER:pper,morire
Ma,NOM,ma
sì,ADV,sì
come,CON,come
a,PRE,a
Colui,NOM,<unknown>
piacque,VER:remo,piacere
il,DET:def,il
quale,ADJ,quale
essendo,VER:geru,essere
Egli,VER:impe,<unknown>
infinito,ADJ,infinito
diede,VER:remo,dare
per,PRE,per
legge,NOM,legge
incommutabile,ADJ,<unknown>
a,PRE,a
tutte,ADJ,tutto
le,DET:def,il
cose,NOM,cosa
mondane,ADJ,mondano
aver,VER:infi,avere
fine,ADJ,fine
il,DET:def,il
mio,PRO:poss,mio
amore,NOM,amore
oltre,ADV,oltre
a,PRE,a
ogn,NOM,<unknown>
',PON,'
altro,ADV,altro
fervente,ADJ,fervente
e,CON,e
il,DET:def,il
quale,PRO:rela,quale
niuna,ADJ,niuno
forza,NOM,forza
di,PRE,di
proponimento,NOM,proponimento
o,CON,o
di,PRE,di
consiglio,NOM,consiglio
o,CON,o
di,PRE,di
vergogna,NOM,vergogna
evidente,ADJ,evidente
o,CON,o
pericolo,NOM,pericolo
che,PRO:rela,che
seguir,VER:infi,seguire
ne,ADV,ne
potesse,VER:cimp,potere
aveva,VER:impf,avere
potuto,VER:pper,potere
né,CON,né
rompere,VER:infi,rompere
né,CON,né
piegare,VER:infi,piegare
per,PRE,per
se,PRO:refl,se
medesimo,ADJ,medesimo
in,PRE,in
processo,NOM,processo
di,PRE,di
tempo,NOM,tempo
si,PRO:pers,si
diminuì,VER:remo,diminuire
in,PRE,in
guisa,NOM,guisa
che,CON,che
sol,NOM,sole
di,PRE,di
sé,NOM,sé
,,
