Item, Mentions, Type
Madonna, 89, City
Bruno, 86, City
Al, 70, City
Tito, 43, City
Roma, 35, City
Parigi, 34, City
Bologna, 27, City
Pavia, 26, City
Gualtieri, 24, City
Palermo, 20, City
Donna, 20, City
Papa, 18, City
Questa, 16, City
Zima, 15, City
Allora, 14, City
Siena, 11, City
Amor, 10, City
Magdalena, 10, City
Guido, 10, City
Perugia, 8, City
Lipari, 8, City
Alle, 8, City
Alessandria, 8, City
Ercolano, 8, City
Italia, 7, City
Salerno, 7, City
Spina, 7, City
Pistoia, 7, City
Muse, 7, City
Trapani, 7, City
Bene, 6, City
Rossiglione, 6, City
Messina, 6, City
Simone, 6, City
Prato, 5, City
Delle, 5, City
Belle, 5, City
Ischia, 5, City
Fiesole, 5, City
Giuliano, 4, City
Pisa, 4, City
Piazza, 4, City
Cremona, 4, City
Faenza, 4, City
Cuba, 4, City
Ravenna, 4, City
San Giovanni, 4, City
Ponte, 4, City
Barletta, 4, City
Oriente, 3, City
Santa, 3, City
Era, 3, City
Male, 3, City
Ferrara, 3, City
Imola, 3, City
Rialto, 3, City
Porta, 3, City
Valle, 3, City
Santa Maria, 3, City
Ottaviano, 3, City
Stra, 3, City
Venne, 2, City
Bella, 2, City
Verona, 2, City
Ravello, 2, City
Manfredi, 2, City
Procida, 2, City
Chios, 2, City
Acri, 2, City
Ancona, 2, City
Gran, 2, City
Pure, 2, City
San Marco, 2, City
Amalfi, 2, City
Campo, 2, City
Fiore, 2, City
Loria, 2, City
Vera, 2, City
Isabella, 2, City
Son, 2, City
Usa, 2, City
Elena, 2, City
Adrian, 2, City
Jerusalem, 2, City
Catalina, 2, City
Persia, 2, City
Solo, 1, City
Grimaldi, 1, City
Trani, 1, City
Benevento, 1, City
Lerici, 1, City
Alba, 1, City
Fate, 1, City
Vero, 1, City
Lamporecchio, 1, City
Fiera, 1, City
Massa, 1, City
Candia, 1, City
San Gimignano, 1, City
Brescia, 1, City
San Paolo, 1, City
Quel, 1, City
Sparti, 1, City
Fano, 1, City
Medicina, 1, City
Minerva, 1, City
Lapa, 1, City
San Michele, 1, City
Certaldo, 1, City
Seneca, 1, City
San Giorgio, 1, City
Santa Croce, 1, City
Villamagna, 1, City
Arezzo, 1, City
Esse, 1, City
Tura, 1, City
Lieto, 1, City
Nicola, 1, City
Mala, 1, City
Mino, 1, City
Villa, 1, City
Saliceto, 1, City
Meta, 1, City
Ama, 1, City
Bitonto, 1, City
Udine, 1, City
Magna, 1, City
Mico, 1, City
Cefalù, 1, City
Dal, 1, City
Tolga, 1, City
Guarda, 1, City
Per, 2288, Region
Calandrino, 2224, Region
E, 1888, Region
Disse, 1840, Region
Dio, 1488, Region
Madonna, 1424, Region
Bruno, 1376, Region
Pietro, 1216, Region
Egli, 1200, Region
Gisippo, 1136, Region
Al, 1120, Region
Currado, 832, Region
Ricciardo, 832, Region
Dioneo, 768, Region
Tedaldo, 768, Region
Gianni, 720, Region
Firenze, 688, Region
Alessandro, 688, Region
Tito, 688, Region
Torello, 656, Region
Alla, 640, Region
Quivi, 624, Region
Nicostrato, 624, Region
Buffalmacco, 624, Region
Natan, 624, Region
Ferondo, 592, Region
Idio, 560, Region
Roma, 560, Region
Saladino, 560, Region
Panfilo, 544, Region
Filostrato, 544, Region
Parigi, 544, Region
Che, 528, Region
Andreuccio, 528, Region
La, 512, Region
Sofronia, 512, Region
Pampinea, 480, Region
Filippo, 480, Region
Bernabò, 480, Region
Ora, 464, Region
Ruggieri, 464, Region
Salabaetto, 448, Region
Giannotto, 432, Region
Bologna, 432, Region
Cimone, 432, Region
Questo, 416, Region
Francia, 416, Region
Pavia, 416, Region
Elissa, 400, Region
Aveva, 400, Region
Appresso, 400, Region
Ma, 384, Region
Cicilia, 384, Region
Gualtieri, 384, Region
Catella, 384, Region
Gerbino, 384, Region
Pirro, 384, Region
Zeppa, 384, Region
Lauretta, 368, Region
Non, 368, Region
Messer, 368, Region
Puccio, 368, Region
Nastagio, 368, Region
Guiscardo, 368, Region
